Microrganismo,Frequência (Hz),Tempo (s),Data de alteração
Staphylococcus saprophyticus,18968.87,180,
Staphylococcus saprophyticus,944.4,180,
Staphylococcus saprophyticus,643,180,
Staphylococcus saprophyticus,40887,180,
Staphylococcus saprophyticus,9646,180,
Staphylococcus saprophyticus,8697,180,
Staphylococcus saprophyticus,7270,180,
Staphylococcus saprophyticus,7160,180,
Staphylococcus saprophyticus,2600,180,
Staphylococcus saprophyticus,2431,180,
Staphylococcus saprophyticus,1902,180,
Staphylococcus saprophyticus,1109,180,
Staphylococcus saprophyticus,1089,180,
Staphylococcus saprophyticus,1060,180,
Staphylococcus saprophyticus,1050,180,
Staphylococcus saprophyticus,1010,180,
Staphylococcus saprophyticus,999,180,
Staphylococcus saprophyticus,985,180,
Staphylococcus saprophyticus,960,180,
Staphylococcus saprophyticus,958,180,
Staphylococcus saprophyticus,943,180,
Staphylococcus saprophyticus,934,180,
Staphylococcus saprophyticus,884,180,
Staphylococcus saprophyticus,882,180,
Staphylococcus saprophyticus,880,180,
Staphylococcus saprophyticus,878,180,
Staphylococcus saprophyticus,876,180,
Staphylococcus saprophyticus,824.4,180,
Staphylococcus saprophyticus,787,180,
Staphylococcus saprophyticus,786,180,
Staphylococcus saprophyticus,784,180,
Staphylococcus saprophyticus,745,180,
Staphylococcus saprophyticus,738,180,
Staphylococcus saprophyticus,728,180,
Staphylococcus saprophyticus,727,180,
Staphylococcus saprophyticus,718,180,
Staphylococcus saprophyticus,686,180,
Staphylococcus saprophyticus,678,180,
Staphylococcus saprophyticus,674,180,
Staphylococcus saprophyticus,647,180,
Staphylococcus saprophyticus,644,180,
Staphylococcus saprophyticus,643,180,
Staphylococcus saprophyticus,639,180,
Staphylococcus saprophyticus,634,180,
Staphylococcus saprophyticus,576,180,
Staphylococcus saprophyticus,563,180,
Staphylococcus saprophyticus,555,180,
Staphylococcus saprophyticus,550,180,
Staphylococcus saprophyticus,542,180,
Staphylococcus saprophyticus,478,180,
Staphylococcus saprophyticus,453,180,
Staphylococcus saprophyticus,436,180,
Staphylococcus saprophyticus,424,180,
Staphylococcus saprophyticus,423,180,
Staphylococcus saprophyticus,411,180,
Staphylococcus saprophyticus,333,180,
Candida Guilliermondii,3176,180,
Candida Guilliermondii,2644,180,
Candida Guilliermondii,1403,180,
Candida Guilliermondii,1151,180,
Candida Guilliermondii,943,180,
Candida Guilliermondii,886,180,
Candida Guilliermondii,877,180,
Candida Guilliermondii,866,180,
Candida Guilliermondii,762,180,
Candida Guilliermondii,742,180,
Candida Guilliermondii,661,180,
Candida Guilliermondii,465,180,
Candida Guilliermondii,464,180,
Candida Guilliermondii,450,180,
Candida Guilliermondii,414,180,
Candida Guilliermondii,412,180,
Candida Guilliermondii,386,180,
Candida Guilliermondii,381,180,
Candida Guilliermondii,254.2,180,
Candida Guilliermondii,120,180,
Candida Guilliermondii,95,180,
Candida Guilliermondii,64,180,
Candida Guilliermondii,20,180,
Candida Guilliermondii,880,180,
Candida Guilliermondii,95,180,
Candida Guilliermondii,125,180,
Candida Guilliermondii,20,180,
Candida Guilliermondii,60,180,
Candida Guilliermondii,225,180,
Candida Guilliermondii,427,180,
Candida Guilliermondii,240,180,
Candida Guilliermondii,650,180,
Candida Guilliermondii,688,180,
Candida Guilliermondii,152,180,
Candida Guilliermondii,442,180,
Candida Guilliermondii,8146,180,
Candida Guilliermondii,751,180,
Candida Guilliermondii,1146,180,
Candida Guilliermondii,1403,180,
Candida Guilliermondii,675,180,
Candida Guilliermondii,709,180,
Candida Guilliermondii,10000,180,
Candida Guilliermondii,5000,180,
Candida Guilliermondii,3176,180,
Candida Guilliermondii,2489,180,
Candida Guilliermondii,1395,180,
Candida Guilliermondii,1276,180,
Candida Guilliermondii,1160,180,
Candida Guilliermondii,1044,180,
Candida Guilliermondii,928,180,
Candida Guilliermondii,877,180,
Candida Guilliermondii,812,180,
Candida Guilliermondii,728,180,
Candida Guilliermondii,696,180,
Candida Guilliermondii,580,180,
Candida Guilliermondii,465,180,
Candida Guilliermondii,464,180,
Candida Guilliermondii,381,180,
Candida Guilliermondii,348,180,
Candida Guilliermondii,232,180,
Candida Guilliermondii,116,180,
Candida Guilliermondii,58,180,
Candida Guilliermondii,20,180,
Candida Guilliermondii,1403,180,
Candida Guilliermondii,675,180,
Candida Guilliermondii,709,180,
Candida Guilliermondii,2167,180,
Candida Guilliermondii,2128,180,
Candida Guilliermondii,2182,180,
Candida Guilliermondii,465,180,
Candida Guilliermondii,20,180,
Candida Guilliermondii,60,180,
Candida Guilliermondii,95,180,
Candida Guilliermondii,125,180,
Candida Guilliermondii,225,180,
Candida Guilliermondii,427,180,
Candida Guilliermondii,464,180,
Candida Guilliermondii,727,180,
Candida Guilliermondii,19217,180,
Candida Guilliermondii,81,180,
Candida Guilliermondii,956,180,
Candida Guilliermondii,80,180,
Candida Guilliermondii,2167,180,
Candida Guilliermondii,2128,180,
Candida Guilliermondii,2182,180,
Candida Guilliermondii,465,180,
Candida Guilliermondii,72,180,
Candida Guilliermondii,422,180,
Candida Guilliermondii,582,180,
Candida Guilliermondii,727,180,
Candida Guilliermondii,787,180,
Candida Guilliermondii,802,180,
Candida Guilliermondii,1016,180,
Candida Guilliermondii,1134,180,
Candida Guilliermondii,1153,180,
Candida Guilliermondii,1550,180,
Candida Guilliermondii,2222,180,
Candida Guilliermondii,412,180,
Candida Guilliermondii,543,180,
Candida Guilliermondii,2128,180,
Trichuris trichiura,20213,180,
Trichuris trichiura,55,180,
Trichuris trichiura,1006,180,
Trichuris trichiura,37,180,
Herpes simplex vírus 2,1141,600,
Herpes simplex vírus 2,1350,600,
Vírus Echo‑9,333,180,
Vírus Echo‑9,523,180,
Vírus Echo‑9,666,180,
Vírus Echo‑9,786,180,
Vírus Echo‑9,768,180,
Vírus Echo‑9,959,180,
Vírus Echo‑9,962,180,
Vírus Echo‑9,10000,180,
Vírus Echo‑9,7767,180,
Vírus Echo‑9,7762,180,
Vírus Echo‑9,7702,180,
Vírus Echo‑9,7009,180,
Vírus Echo‑9,7001,180,
Vírus Echo‑9,6989,180,
Vírus Echo‑9,5000,180,
Vírus Echo‑9,4868,180,
Vírus Echo‑9,2720,180,
Vírus Echo‑9,2050,180,
Vírus Echo‑9,1500,180,
Vírus Echo‑9,1395,180,
Vírus Echo‑9,1062,180,
Vírus Echo‑9,1060,180,
Vírus Echo‑9,1034,180,
Vírus Echo‑9,1009,180,
Vírus Echo‑9,969,180,
Vírus Echo‑9,968,180,
Vírus Echo‑9,962,180,
Vírus Echo‑9,959,180,
Vírus Echo‑9,960,180,
Vírus Echo‑9,952,180,
Vírus Echo‑9,951,180,
Vírus Echo‑9,942,180,
Vírus Echo‑9,880,180,
Vírus Echo‑9,1550,180,
Vírus Echo‑9,802,180,
Vírus Echo‑9,787,180,
Vírus Echo‑9,768,180,
Vírus Echo‑9,728,180,
Vírus Echo‑9,690,180,
Vírus Echo‑9,660,180,
Vírus Echo‑9,555,180,
Vírus Echo‑9,523,180,
Vírus Echo‑9,522,180,
Vírus Echo‑9,1865,180,
Vírus Echo‑9,444,180,
Vírus Echo‑9,333,180,
Vírus Echo‑9,300,180,
Vírus Echo‑9,180,180,
Vírus Echo‑9,160,180,
Vírus Echo‑9,125,180,
Vírus Echo‑9,95,180,
Vírus Echo‑9,72,180,
Vírus Echo‑9,60,180,
Vírus Echo‑9,48,180,
Vírus Echo‑9,26,180,
Vírus Echo‑9,20,180,
Vírus Echo‑9,28729.05,180,
Vírus Echo‑9,16628.88,180,
Vírus Echo‑9,18471,180,
Vírus Echo‑9,18670.15,180,
Vírus Echo‑9,19566.32,180,
Vírus Echo‑9,1407.93,180,
Vírus Echo‑9,827.9,180,
Vírus Echo‑9,919.62,180,
Vírus Echo‑9,929.53,180,
Vírus Echo‑9,974.15,180,
Vírus Echo‑9,2900,180,
Vírus Echo‑9,864,180,
Vírus Echo‑9,790,180,
Vírus Echo‑9,690,180,
Vírus Echo‑9,610,180,
Vírus Echo‑9,470,180,
Vírus Echo‑9,484,180,
Vírus Echo‑9,986,180,
Vírus Echo‑9,644,180,
Vírus Echo‑9,254,180,
Vírus Echo‑9,5000,180,
Vírus Echo‑9,3636,180,
Vírus Echo‑9,2632,180,
Vírus Echo‑9,1850,180,
Vírus Echo‑9,1500,180,
Vírus Echo‑9,1488,180,
Vírus Echo‑9,1422,180,
Vírus Echo‑9,1189,180,
Vírus Echo‑9,1044,180,
Vírus Echo‑9,922,180,
Vírus Echo‑9,868,180,
Vírus Echo‑9,845,180,
Vírus Echo‑9,822,180,
Vírus Echo‑9,788,180,
Vírus Echo‑9,776,180,
Vírus Echo‑9,766,180,
Vírus Echo‑9,742,180,
Vírus Echo‑9,733,180,
Vírus Echo‑9,721,180,
Vírus Echo‑9,676,180,
Vírus Echo‑9,654,180,
Vírus Echo‑9,625,180,
Vírus Echo‑9,620,180,
Vírus Echo‑9,607,180,
Dengue,464,180,
Dengue,440,180,
Dengue,3672,180,
Dengue,7766,180,
Dengue,7760,180,
Dengue,7344,180,
Dengue,1234,180,
Dengue,5000,180,
Dengue,727,180,
Dengue,787,180,
Dengue,464,180,
Dengue,440,180,
Dengue,3672,180,
Dengue,7766,180,
Dengue,7760,180,
Dengue,7344,180,
Dengue,1234,180,
Dengue,5000,180,
Dengue,727,180,
Dengue,787,180,
Dengue,800,180,
Dengue,875,180,
Dengue,880,180,
Dengue,885,180,
Dengue,728,180,
Dengue,1550,180,
Dengue,1500,180,
Dengue,2008,180,
Dengue,20,180,
Dengue,728,180,
Dengue,440,180,
Dengue,465,180,
Dengue,613,180,
Dengue,666,180,
Dengue,727,180,
Dengue,787,180,
Dengue,800,180,
Dengue,1000,180,
Dengue,5000,180,
Dengue,10000,180,
Fasciolopsis buski,1695,600,
Neisseria gonorrhoeae,1305.6,nan,
Eurytrema Pancreático,1644,600,
Eurytrema Pancreático,1644,600,
Rhizopus spp.,552,180,
Rhizopus spp.,1522,180,
Rhizopus spp.,132,180,
Rhizopus spp.,327,180,
Rhizopus spp.,775,180,
Rhizopus spp.,659,180,
Rhizopus spp.,660,180,
Tricomoníase,610,180,
Tricomoníase,692,180,
Tricomoníase,980,180,
Candida Albicans,414.18,nan,
Rotavírus,665,300,
Rotavírus,666,300,
Rotavírus,667,300,
Rotavírus,776,300,
Rotavírus,787,300,
Rotavírus,802,300,
Rotavírus,1550,300,
Rotavírus,832,300,
Rotavírus,840,300,
Rotavírus,880,300,
Rotavírus,1570,300,
Rotavírus,1998,300,
Rotavírus,2008,300,
Rotavírus,2052,300,
Rotavírus,2127.5,300,
Rotavírus,2489,300,
Rotavírus,2490,300,
Rotavírus,5000,300,
Coronavirus,665,300,
Coronavirus,666,300,
Coronavirus,667,300,
Coronavirus,776,300,
Coronavirus,787,300,
Coronavirus,802,300,
Coronavirus,1550,300,
Coronavirus,832,300,
Coronavirus,840,300,
Coronavirus,880,300,
Coronavirus,1570,300,
Coronavirus,1998,300,
Coronavirus,2008,300,
Coronavirus,2052,300,
Coronavirus,2127.5,300,
Coronavirus,2489,300,
Coronavirus,2490,300,
Coronavirus,5000,300,
Trypanosoma cruzi,1808,600,
Trichinella spiralis,1580,600,
Fusarium spp.,102,180,
Fusarium spp.,332,180,
Fusarium spp.,705,180,
Fusarium spp.,795,180,
Fusarium spp.,780,180,
Fusarium spp.,768,180,
Fusarium spp.,625,180,
Fusarium spp.,746,180,
Brucella Abortus,748,180,
Brucella Abortus,643,180,
Brucella Abortus,695,180,
Brucella Abortus,1423,180,
Streptococcus pyogenes,1437,600,
Trichophyton rubrum,752,180,
Trichophyton rubrum,923,180,
Enterococcus faecalis,686,600,
Enterococcus faecalis,409,180,
Enterococcus faecalis,454,180,
Enterococcus faecalis,5000,180,
Histoplasma capsulatum,1180,600,
Leishmania braziliensis,1574,600,
Aspergillus niger,374697,180,
Toxoplasma gondii,19665.89,180,
Toxoplasma gondii,979.11,180,
Leishmania amazonensis,1574,600,
Paragonimus westermani,22503.75,180,
Paragonimus westermani,1120.4,180,
Paragonimus westermani,22254.82,180,
Paragonimus westermani,1108,180,
Clostridium botulinum,1414,600,
Clostridium botulinum,1414,600,
Plasmodium falciparum,1457,600,
Fasciola hepatica,1660,600,
Candida Dubliniensis,414.18,nan,
Clonorchis sinensis,1668,600,
Treponema pallidum,660,180,
Treponema pallidum,902,180,
Treponema pallidum,17276.11,180,
Treponema pallidum,860.13,180,
Penicillium spp.,552,180,
Penicillium spp.,1522,180,
Penicillium spp.,129,180,
Penicillium spp.,249,180,
Penicillium spp.,344,180,
Penicillium spp.,967,180,
Penicillium spp.,345,180,
Penicillium spp.,688,180,
Penicillium spp.,868,180,
Penicillium spp.,1070,180,
Penicillium spp.,2411,180,
Penicillium spp.,728,180,
Penicillium spp.,764,180,
Penicillium spp.,765,180,
Penicillium spp.,334,180,
Penicillium spp.,629,180,
Penicillium spp.,321,180,
Penicillium spp.,550,180,
Penicillium spp.,555,180,
Penicillium spp.,556,180,
Penicillium spp.,558,180,
Penicillium spp.,560,180,
Penicillium spp.,562,180,
Penicillium spp.,566,180,
Penicillium spp.,572,180,
Penicillium spp.,644,180,
Penicillium spp.,825,180,
Penicillium spp.,922,180,
Penicillium spp.,942,180,
Penicillium spp.,4870,180,
Penicillium spp.,7780,180,
Penicillium spp.,412,180,
Penicillium spp.,715,180,
Penicillium spp.,332,180,
Penicillium spp.,457,180,
Penicillium spp.,460,180,
Penicillium spp.,462,180,
Penicillium spp.,766,180,
Penicillium spp.,1015,180,
Penicillium spp.,1018,180,
Entamoeba histolytica,1504,600,
Cryptosporidium parvum,220,180,
Cryptosporidium parvum,482,180,
Cryptosporidium parvum,575,180,
Cryptosporidium parvum,4122,180,
Cryptosporidium parvum,698,180,
Cryptosporidium parvum,711,180,
Cryptosporidium parvum,893,180,
Cryptosporidium parvum,895,180,
Cryptosporidium parvum,1276,180,
Cryptosporidium parvum,5690,180,
Mucor spp.,612,180,
Mucor spp.,1000,180,
Mucor spp.,488,180,
Mucor spp.,766,180,
Mucor spp.,9788,180,
Mucor spp.,735,180,
Mucor spp.,361,180,
Mucor spp.,578,180,
Mucor spp.,785,180,
Mucor spp.,877,180,
Mucor spp.,310,180,
Mucor spp.,474,180,
Mucor spp.,875,180,
Mucor spp.,473,180,
Mucor spp.,686,180,
Mucor spp.,871,180,
Mucor spp.,873,180,
Mucor spp.,876,180,
Mucor spp.,878,180,
Mucor spp.,887,180,
Mucor spp.,7768,180,
Mucor spp.,7976,180,
Mucor spp.,8788,180,
Mucor spp.,713,180,
Mucor spp.,729,180,
Mucor spp.,731,180,
Mucor spp.,751,180,
Mucor spp.,760,180,
Mucor spp.,778,180,
Mucor spp.,1200,180,
Mucor spp.,942,180,
Mucor spp.,623,180,
Mucor spp.,733,180,
Zika,727,600,
Zika,5000,600,
Zika,213,600,
Zika,516,600,
Schistosoma haematobium,1379,600,
Aspergillus fumigatus,1823,180,
Aspergillus fumigatus,247,180,
Aspergillus fumigatus,1972,180,
Aspergillus fumigatus,524758,180,
Aspergillus fumigatus,374697,180,
Aspergillus fumigatus,743339,180,
Aspergillus fumigatus,1972,180,
Aspergillus fumigatus,1823,180,
Aspergillus fumigatus,758,180,
Aspergillus fumigatus,743,180,
Aspergillus fumigatus,697,180,
Aspergillus fumigatus,524,180,
Aspergillus fumigatus,374,180,
Aspergillus fumigatus,339,180,
Aspergillus fumigatus,247,180,
Aspergillus fumigatus,552,180,
Aspergillus fumigatus,1522,180,
Schistosoma mansoni,329,180,
Schistosoma mansoni,9889,180,
Norovírus,665,300,
Norovírus,666,300,
Norovírus,667,300,
Norovírus,776,300,
Norovírus,787,300,
Norovírus,802,300,
Norovírus,1550,300,
Norovírus,832,300,
Norovírus,840,300,
Norovírus,880,300,
Norovírus,1570,300,
Norovírus,1998,300,
Norovírus,2008,300,
Norovírus,2052,300,
Norovírus,2127.5,300,
Norovírus,2489,300,
Norovírus,2490,300,
Norovírus,5000,300,
Leishmania guyanensis,1574,600,
Herpes simplex,1141,600,
Herpes simplex,1350,600,
Ascaris Larvae,152,180,
Ascaris Larvae,442,180,
Ascaris Larvae,8146,180,
Ascaris Larvae,751,180,
Ascaris Larvae,1146,180,
Ascaris Larvae,797,180,
Bactéria Lactis Aerogenes,488,180,
Bactéria Lactis Aerogenes,565,180,
Bactéria Lactis Aerogenes,672,180,
Bactéria Lactis Aerogenes,674,180,
Bactéria Lactis Aerogenes,678,180,
Bactéria Lactis Aerogenes,773,180,
Bactéria Lactis Aerogenes,766,180,
Bactéria Lactis Aerogenes,768,180,
Bactéria Lactis Aerogenes,776,180,
Bactéria Lactis Aerogenes,777,180,
Bactéria Lactis Aerogenes,778,180,
Bactéria Lactis Aerogenes,822,180,
Bactéria Lactis Aerogenes,885,180,
Bactéria Lactis Aerogenes,887,180,
Bactéria Lactis Aerogenes,7877,180,
Bactéria Lactis Aerogenes,9687,180,
Bactéria Lactis Aerogenes,42664,180,
Bactéria Lactis Aerogenes,42666,180,
Bactéria Lactis Aerogenes,46668,180,
Bactéria Lactis Aerogenes,46787,180,
Bactéria Lactis Aerogenes,23,180,
Bactéria Lactis Aerogenes,222,180,
Bactéria Lactis Aerogenes,262,180,
Bactéria Lactis Aerogenes,2154,180,
Bactéria Lactis Aerogenes,465,180,
Bactéria Lactis Aerogenes,488,180,
Bactéria Lactis Aerogenes,567,180,
Bactéria Lactis Aerogenes,7880,180,
Bactéria Lactis Aerogenes,10000,180,
Bactéria Lactis Aerogenes,787,180,
Bactéria Lactis Aerogenes,747,180,
Bactéria Lactis Aerogenes,727,180,
Bactéria Lactis Aerogenes,20,180,
Bactéria Lactis Aerogenes,660,180,
Bactéria Lactis Aerogenes,690,180,
Bactéria Lactis Aerogenes,160,180,
Bactéria Lactis Aerogenes,73,180,
Bactéria Lactis Aerogenes,1.1,180,
Bactéria Lactis Aerogenes,10000,180,
Bactéria Lactis Aerogenes,2720,180,
Bactéria Lactis Aerogenes,2170,180,
Bactéria Lactis Aerogenes,1800,180,
Bactéria Lactis Aerogenes,1600,180,
Bactéria Lactis Aerogenes,1500,180,
Bactéria Lactis Aerogenes,880,180,
Bactéria Lactis Aerogenes,787,180,
Bactéria Lactis Aerogenes,776,180,
Bactéria Lactis Aerogenes,727,180,
Bactéria Lactis Aerogenes,20,180,
Bactéria Lactis Aerogenes,250,180,
Bactéria Lactis Aerogenes,1.2,180,
Bactéria Lactis Aerogenes,650,180,
Bactéria Lactis Aerogenes,625,180,
Bactéria Lactis Aerogenes,600,180,
Bactéria Lactis Aerogenes,787,180,
Bactéria Lactis Aerogenes,727,180,
Bactéria Lactis Aerogenes,262,180,
Bactéria Lactis Aerogenes,776,180,
Bactéria Lactis Aerogenes,766,180,
Bactéria Lactis Aerogenes,548,180,
Bactéria Lactis Aerogenes,244,180,
Bactéria Lactis Aerogenes,1466,180,
Bactéria Lactis Aerogenes,597,180,
Bactéria Lactis Aerogenes,1311,180,
Bactéria Lactis Aerogenes,512,180,
Bactéria Lactis Aerogenes,526,180,
Bactéria Lactis Aerogenes,798,180,
Bactéria Lactis Aerogenes,951,180,
Bactéria Lactis Aerogenes,5412,180,
Bactéria Lactis Aerogenes,20786.1,180,
Bactéria Lactis Aerogenes,17923.34,180,
Bactéria Lactis Aerogenes,1034.88,180,
Bactéria Lactis Aerogenes,892.35,180,
Bactéria Lactis Aerogenes,430,180,
Bactéria Lactis Aerogenes,620,180,
Bactéria Lactis Aerogenes,624,180,
Bactéria Lactis Aerogenes,840,180,
Bactéria Lactis Aerogenes,1111.4,180,
Bactéria Lactis Aerogenes,2213,180,
Bactéria Lactis Aerogenes,866,180,
Bactéria Lactis Aerogenes,555.7,180,
Bactéria Lactis Aerogenes,2222.8,180,
Bactéria Lactis Aerogenes,1035,180,
Bactéria Lactis Aerogenes,968,180,
Bactéria Lactis Aerogenes,961,180,
Bactéria Lactis Aerogenes,851,180,
Bactéria Lactis Aerogenes,844,180,
Bactéria Lactis Aerogenes,843,180,
Bactéria Lactis Aerogenes,691,180,
Bactéria Lactis Aerogenes,591,180,
Bactéria Lactis Aerogenes,556,180,
Bactéria Lactis Aerogenes,330,180,
Bactéria Lactis Aerogenes,10000,180,
Bactéria Lactis Aerogenes,1000,180,
Bactéria Lactis Aerogenes,925,180,
Bactéria Lactis Aerogenes,800,180,
Bactéria Lactis Aerogenes,788,180,
Bactéria Lactis Aerogenes,776,180,
Bactéria Lactis Aerogenes,624,180,
Bactéria Lactis Aerogenes,590,180,
Candida Saccharomyces,3176,180,
Candida Saccharomyces,2644,180,
Candida Saccharomyces,1403,180,
Candida Saccharomyces,1151,180,
Candida Saccharomyces,943,180,
Candida Saccharomyces,886,180,
Candida Saccharomyces,877,180,
Candida Saccharomyces,866,180,
Candida Saccharomyces,762,180,
Candida Saccharomyces,742,180,
Candida Saccharomyces,661,180,
Candida Saccharomyces,465,180,
Candida Saccharomyces,464,180,
Candida Saccharomyces,450,180,
Candida Saccharomyces,414,180,
Candida Saccharomyces,412,180,
Candida Saccharomyces,386,180,
Candida Saccharomyces,381,180,
Candida Saccharomyces,254.2,180,
Candida Saccharomyces,120,180,
Candida Saccharomyces,95,180,
Candida Saccharomyces,64,180,
Candida Saccharomyces,20,180,
Candida Saccharomyces,880,180,
Candida Saccharomyces,95,180,
Candida Saccharomyces,125,180,
Candida Saccharomyces,20,180,
Candida Saccharomyces,60,180,
Candida Saccharomyces,225,180,
Candida Saccharomyces,427,180,
Candida Saccharomyces,240,180,
Candida Saccharomyces,650,180,
Candida Saccharomyces,688,180,
Candida Saccharomyces,152,180,
Candida Saccharomyces,442,180,
Candida Saccharomyces,8146,180,
Candida Saccharomyces,751,180,
Candida Saccharomyces,1146,180,
Candida Saccharomyces,1403,180,
Candida Saccharomyces,675,180,
Candida Saccharomyces,709,180,
Candida Saccharomyces,10000,180,
Candida Saccharomyces,5000,180,
Candida Saccharomyces,3176,180,
Candida Saccharomyces,2489,180,
Candida Saccharomyces,1395,180,
Candida Saccharomyces,1276,180,
Candida Saccharomyces,1160,180,
Candida Saccharomyces,1044,180,
Candida Saccharomyces,928,180,
Candida Saccharomyces,877,180,
Candida Saccharomyces,812,180,
Candida Saccharomyces,728,180,
Candida Saccharomyces,696,180,
Candida Saccharomyces,580,180,
Candida Saccharomyces,465,180,
Candida Saccharomyces,464,180,
Candida Saccharomyces,381,180,
Candida Saccharomyces,348,180,
Candida Saccharomyces,232,180,
Candida Saccharomyces,116,180,
Candida Saccharomyces,58,180,
Candida Saccharomyces,20,180,
Candida Saccharomyces,1403,180,
Candida Saccharomyces,675,180,
Candida Saccharomyces,709,180,
Candida Saccharomyces,2167,180,
Candida Saccharomyces,2128,180,
Candida Saccharomyces,2182,180,
Candida Saccharomyces,465,180,
Candida Saccharomyces,20,180,
Candida Saccharomyces,60,180,
Candida Saccharomyces,95,180,
Candida Saccharomyces,125,180,
Candida Saccharomyces,225,180,
Candida Saccharomyces,427,180,
Candida Saccharomyces,464,180,
Candida Saccharomyces,727,180,
Candida Saccharomyces,19217,180,
Candida Saccharomyces,81,180,
Candida Saccharomyces,956,180,
Candida Saccharomyces,80,180,
Candida Saccharomyces,2167,180,
Candida Saccharomyces,2128,180,
Candida Saccharomyces,2182,180,
Candida Saccharomyces,465,180,
Candida Saccharomyces,72,180,
Candida Saccharomyces,422,180,
Candida Saccharomyces,582,180,
Candida Saccharomyces,727,180,
Candida Saccharomyces,787,180,
Candida Saccharomyces,802,180,
Candida Saccharomyces,1016,180,
Candida Saccharomyces,1134,180,
Candida Saccharomyces,1153,180,
Candida Saccharomyces,1550,180,
Candida Saccharomyces,2222,180,
Candida Saccharomyces,412,180,
Candida Saccharomyces,543,180,
Candida Saccharomyces,2128,180,
Epidermophyton Floccosum,20,727,
Epidermophyton Floccosum,787,880,
Epidermophyton Floccosum,5000,644,
Epidermophyton Floccosum,766,464,
Epidermophyton Floccosum,802,1552,
Epidermophyton Floccosum,9999,3176,
Fasciolopsis buski,1695,600,
Helicobacter Pylori,676,180,
Helicobacter Pylori,704.9,180,
Helicobacter Pylori,694.7,180,
Helicobacter Pylori,#,1,
Helicobacter Pylori,2167,180,
Helicobacter Pylori,728,180,
Helicobacter Pylori,880,180,
Helicobacter Pylori,2950,180,
Helicobacter Pylori,#,exp,
Helicobacter Pylori,694.7,180,
Helicobacter Pylori,2778.8,180,
Helicobacter Pylori,704.9,180,
Helicobacter Pylori,2819.4,180,
Lactobacillus Acidophilus,17375,180,
Lactobacillus Acidophilus,69,180,
Lactobacillus Acidophilus,865,180,
Lactobacillus Acidophilus,8,180,
Mycobacterium Phlei,20412.7,180,
Mycobacterium Phlei,1016.29,180,
Mycobacterium Phlei,21508.01,180,
Mycobacterium Phlei,1070.82,180,
Microsporum Canis,1644.18,nan,
Reovírus,665,300,
Reovírus,666,300,
Reovírus,667,300,
Reovírus,776,300,
Reovírus,787,300,
Reovírus,802,300,
Reovírus,1550,300,
Reovírus,832,300,
Reovírus,840,300,
Reovírus,880,300,
Reovírus,1570,300,
Reovírus,1998,300,
Reovírus,2008,300,
Reovírus,2052,300,
Reovírus,2127.5,300,
Reovírus,2489,300,
Reovírus,2490,300,
Reovírus,5000,300,
Rinovírus,952,180,
Rinovírus,741,180,
Rinovírus,682,180,
Rinovírus,320,180,
Rinovírus,160,180,
Scopulariopsis Brevic,1687,600,
Staphylococcus Albus,424,180,
Staphylococcus Albus,727,180,
Staphylococcus Albus,786,180,
Staphylococcus Albus,943,180,
Staphylococcus Albus,1050,180,
Tinea Capitis,20,180,
Tinea Capitis,379,180,
Tinea Capitis,727,180,
Tinea Capitis,787,180,
Tinea Capitis,880,180,
Tinea Capitis,5000,180,
Tinea Capitis,644,180,
Tinea Capitis,766,180,
Tinea Capitis,464,180,
Tinea Capitis,802,180,
Tinea Capitis,1552,180,
Tinea Capitis,9999,180,
Tinea Capitis,752,180,
Tinea Capitis,923,180,
Tinea Capitis,3176,180,
Tinea Capitis,304,180,
Tricophyton Mentagrophyte,311.18,nan,
Strongyloides stercoralis,380,180,
Strongyloides stercoralis,698,180,
Strongyloides stercoralis,752,180,
Strongyloides stercoralis,776,180,
Strongyloides stercoralis,722,180,
Strongyloides stercoralis,738,180,
Strongyloides stercoralis,746,180,
Strongyloides stercoralis,1113,180,
Echovírus 9,2900,180,
Echovírus 9,864,180,
Echovírus 9,790,180,
Echovírus 9,690,180,
Echovírus 9,610,180,
Echovírus 9,470,180,
Echovírus 9,484,180,
Echovírus 9,986,180,
Echovírus 9,644,180,
Echovírus 9,254,180,
Echovírus 9,922,180,
Echovírus 9,788,180,
Echovírus 9,765,180,
Echovírus 9,722,180,
Echovírus 9,625,180,
Echovírus 9,620,180,
Echovírus 9,614,180,
Echovírus 9,613,180,
Echovírus 9,612,180,
Echovírus 9,611,180,
Echovírus 9,610,180,
Echovírus 9,609,180,
Echovírus 9,608,180,
Echovírus 9,607,180,
Echovírus 9,606,180,
Echovírus 9,605,180,
Echovírus 9,604,180,
Echovírus 9,603,180,
Echovírus 9,514,180,
Echovírus 9,461,180,
Parainfluenza,952,180,
Parainfluenza,741,180,
Parainfluenza,682,180,
Parainfluenza,320,180,
Parainfluenza,160,180,
Ameba Meleagridis,344,180,
Ameba Meleagridis,605,180,
Ameba Meleagridis,510,180,
Ameba Meleagridis,943,180,
Ameba Meleagridis,310,180,
Ameba Meleagridis,333,180,
Ameba Meleagridis,532,180,
Ameba Meleagridis,732,180,
Ameba Meleagridis,769,180,
Ameba Meleagridis,827,180,
Ameba Meleagridis,1522,180,
Ameba Meleagridis,19367.17,180,
Ameba Meleagridis,964.23,180,
Ameba Meleagridis,21209.29,180,
Ameba Meleagridis,1055.95,180,
Bartonella Quintana,2900,180,
Bartonella Quintana,864,180,
Bartonella Quintana,790,180,
